Neutral,Joy ,Sad ,Angry ,Fear
finished morning lecture,I am enjoying with my homies.,I cired a lot yesterday.,System crashed during submission,terrified tomorrow final exam
going library study,I got highest grades for every subjects.,my laptop crashed.,Groupmates didnot contribute,graduate time
assignment deadline next week,Found good food today.,Got a low grade,Lab was locked,worried fail organic chemistry
meeting study group pm,I enjoyed so much at freshers night party.,I got rejected from my affair.,Unfair marking scheme,scared thesis defense presentation
professor posted new slide online,My research idea was accepted.,I lost my wallet today I am vey sad about that.,Work load is high . ,scholarship get revoked
presentation scheduled friday,I passed all subjects.,Couldnot meet the deadline and very upset about that.,Noisy classroom disturbed me,anxious meeting advisor
lab session tomorrow morning,I am very happy I submitted all assignments on time.,Lecturer blamed on us .,Had to redo the work,afraid chose wrong major
completing daily reading list,Finished the project early. ,I repeat four subjects.,I  am very angry with my roommates.,worried finding job after graduation
exams start two weeks,Had a great lecture time.,I stopped relationship and my heart borken into pieces ,Had back to back lectures,scared speaking front class
just registered new semester,Enjoyed the field trip today.,when I fail my exam.,They never listen to me.,handle course workload
taking notes lecture,Won the debate,Missed my family,Portal was down again,anxious living away family
missed bus morning,Got selected for the final match.,Felt left out in the group,Group members are very irresponsible.,afraid fitting socially
completed project outline,Got the internship .,Had to cancel my trip,I am angry with raggers.,worried student loan debt
printing handout tomorrow,I passed my semester exams at first attempt.,Lost my notes,I hate this univeristy culture.,scared smart enough program
borrowed book library,I am happy I have a first class degree.,cried because I feel sad today.,Lecturer late to do lectures.,disappoint parent
submitted assignment before deadline,Friends surprised me on my birthday .,Felt there is no one for me.,Work load is too much.,anxious comprehensive exam
preparing presentation slide,Today module is good.,I have no beauiful clothes to wear .,Attendance is compulsory for the undergraduates to face the end exam,afraid failing internship
library full today,I met my bestfriend.,Superviosr rejected my research topic.,They changed the plan without telling me.,worried mental health declining
group discussion went well,Friends are very nice to me., I not performed well in mid exam.,So much work no time even self study something new,scared competitive graduate school application
submitted quiz online,Today I am going to meet my family .,I got ineligible without knowing.,Attendace are compulsory I Hate that rule.,understand advanced concept
registered online course,I earned more marks rom the viva.,I miss my grandmother.,I am annoyed right now.,anxious group presentation tomorrow
weekend revision started,We did every viva nicely.,I have low GPA currently.,Those seniors disturbing on us again and again.,afraid asking professor help
done with class,I am very happy to be rajarata uni student.,Exam are the saddest situation.,I got mad with my friends.,worried maintaining gpa
checked exam timetable,I met funny guys from university.,Missed my family so badly.,Had to submit project idea again and again.,scared making mistake lab
campus internet slow today,Enjoyed the field trip so much .,I lost my first class.,Hate rude seniors.,get medical school
bought new notebook,I got selected as a vice president in club.,I lost my lab coat.,I hate going lectures ,anxious peer evaluation feedback
attending workshop weekend,Met my love from the univeristy.,Got a low grade In every exams.,There was a power cut during our study period time.,afraid disappointing research supervisor
submitted form office,I have got an A+ for four credit subject.,we did not win the match.,Those senior are very aggressive towards to us.,worried upcoming job interview
reading research article,I eat best fried rice.,I failed in everything .,Team members not working properly I hate that.,scared living
completed tutorial questions,some one say they love my personality.,feel left out from the batch.,I hate you .,afford next semester
I go to town,Exited to spend time with my family.,Did not get enough support from the supervisor.,I canot work under this poor management.,anxious thesis proposal defense
we went to ruwanweliseya yesterday,I met my mom.,My grades are low in past semesters.,we have no water supply for a 24 hours.,afraid public speaking assignment
Lecture is aat 4 PM in the L8 room,I found a delious restaurant near mihintale.,Had to cancel my trip,I m mad at every one right now.,worried chemistry lab safety
Today we have rice and curry to eat, I am happy because I today our lecture was canceld.,failed in a project viva.,The campus wifi is constantly cutting out.,scared meeting expectation
Had a lecture in the morning,I got passed most difficult subject .,Had fight with someone.,That person is cunning.,fail licensing exam
