Text,Emotion
Checked email for updates,Neutral
I hate how they never give clear instructions.,Angry
my laptop crashed.,Sad
scared competitive internship process,Fear
Academic writing skills reaching new level,Joy
Attended research workshop,Neutral
I am lucky to have great friends with me.,Joy
Reviewed methodological rigor,Neutral
Academic achievements losing all meaning,Sad
Lost my file with important documents,Sad
Fear of running out of time,Fear
Felt enraged after project denial,Angry
Worried about department scrutiny,Fear
Professor undervalued my contribution,Angry
campus orientation next week,Neutral
Missed a lecture by my favourite lecturer,Sad
we were so happy about yesterday.,Joy
Got upset over group project sabotage,Angry
handle advanced coursework,Fear
 The hostel electricity goes off all the time.,Angry
creative work heavily criticized,Sad
Afraid of scholarship rejection,Fear
I hate going lectures ,Angry
Attended academic gathering,Neutral
I was best at university.,Joy
I have a first class degree upto now.,Joy
Could not join the field trip,Sad
Academic journey inspiring others,Joy
Scared of peer competition,Fear
Did not get enough support from the supervisor.,Sad
Got rejected from academic society,Sad
Submitted policy analysis,Neutral
Afraid of missing submission deadline,Fear
Lecture is aat 4 PM in the L8 room,Neutral
I am very happy about my grades.,Joy
afraid academic integrity violation,Fear
Had fight with someone.,Sad
Instructor dismissed my efforts,Angry
group presentation grade unfair,Angry
Anxious about everything riht now.,Fear
Completed intervention research,Neutral
I m mad at every one right now.,Angry
I am a girl ,Neutral
Completed grant application,Neutral
Today I am at home,Neutral
I cired a lot yesterday.,Sad
I am very happy I submitted all assignments on time.,Joy
scholarship application got rejected,Sad
Academic progress stalled indefinitely,Sad
Academic network changing world for better,Joy
lab partner broke expensive equipment,Angry
Nervous that I wonot understand the questions,Fear
Attended career fair,Neutral
Walked to campus library,Neutral
The projector bulb was replaced.,Neutral
Attended academic seminar,Neutral
Missed the lectures today.,Sad
won public speaking championship,Joy
 revising for tomorrowâs quiz.,Neutral
Attended scholarly conference,Neutral
make new friend,Fear
Project collaboration fell through,Sad
Professor gave harsh criticism on project,Sad
Completed evaluation study,Neutral
afraid fitting socially,Fear
Submitted historical study,Neutral
everyon come to gorund at 4 pm,Neutral
tommrow I am going to anuradhapura town,Neutral
Completed correlational study,Neutral
anxious comprehensive exam,Fear
Attended thesis workshop,Neutral
Anxious about the future,Fear
Could not attend the job fair,Sad
Attended scholarly meeting,Neutral
Classmates criticized my ideas harshly,Angry
Got cut from competitive internship,Sad
Group left me out of presentation,Sad
got accepted dream major,Joy
Could not go home for months,Sad
Research got accepted for publication,Joy
Academic network expanding rapidly,Joy
We shared cake in the library lounge,Joy
afraid meeting advisor expectation,Fear
Campus interview led to job opportunity,Joy
Nervous about thesis submission,Fear
I found the textbook in the library.,Neutral
Professor refused to recommend advancement,Sad
Failed most important subject.,Sad
Scared of negative peer review,Fear
I failed in everything .,Sad
I got anxious when there are seniors.,Fear
registration next semester open tomorrow,Neutral
Reviewed research design,Neutral
anxious medical school interview,Fear
That exam was dififcult .,Sad
Why is the Internet always slow when I need it most ,Angry
our project proposal was good.,Joy
Got a low grade In every exams.,Sad
Professor criticized my conceptual framework,Sad
Lecturer showed no interest in research,Sad
Research project lacks coherent direction,Sad
Instructor publicly criticized my methodology,Angry
campus social activity lack diversity,Angry
Got accepted to exclusive academic council,Joy
get selected leadership program,Sad
Missed my family so badly.,Sad
Felt provoked during lab evaluation,Angry
Got invitation to lead global academic initiative,Joy
The AC is working again.,Neutral
Research collaboration achieving cosmic harmony,Joy
Failed the subject I worked hard for,Sad
thesis committee satisfied,Sad
Got irritated by continuous criticism,Angry
Got frustrated with evaluation process,Angry
professor us powerpoint slide,Neutral
Campus newspaper published my article,Joy
lab result sabotaged someone,Angry
we did not win the match.,Sad
library computer always broken,Angry
need submit course reflection,Neutral
Completed descriptive study,Neutral
need check course prerequisite,Neutral
My friends and I shared funny stories today,Joy
Hate rude seniors.,Angry
got diagnosed learning disability,Sad
Academic performance consistently disappointing,Sad
I donot like to see that face again.,Angry
professor gave feedback assignment,Neutral
 I feel angry about myself,Angry
Had to cancel my trip,Sad
Completed qualitative research,Neutral
Attended workshop on research methods,Neutral
Worrying about 1st year C-.,Fear
Felt ignored during research discussion,Angry
anxious peer pressure situation,Fear
I unsuccessful in everything .,Sad
Felt frustrated with group dynamics,Angry
Academic achievements leaving lasting legacy,Joy
Professor refused thesis committee participation,Sad
Academic performance below expectations consistently,Sad
research finding exceeded expectation,Joy
I go to the gym,Neutral
Classmate challenged my competence,Angry
 I hate how everyone talks behind each otherâs backs.,Angry
I got highest grades for every subjects.,Joy
academic confidence completely shattered,Sad
Got rejected from scholarly publication,Sad
professor recommended fellowship,Joy
I am sad because of my fathers condition.,Sad
Had back to back lectures,Angry
group project partner never show,Angry
Got upset over exam scoring mistakes,Angry
Classmate took credit for my work,Angry
The hall is booked for an event.,Neutral
Attended guest speaker presentation,Neutral
Academic skills creating unprecedented impact,Joy
Nervous about being judged by professors,Fear
Professor invited me to academic symposium,Joy
Professor invited me to co-organize conference,Joy
experiment produced amazing result,Joy
Anxious about writing the thesis,Fear
Submitted methodological paper,Neutral
Nervous about final grades,Fear
The assignment file is too big to upload.,Neutral
Professor questioned my research competence,Sad
 I hate how they ignore student complaints.,Angry
afraid making presentation mistake,Fear
Felt provoked during group discussion,Angry
Got frustrated with conflicting instructions,Angry
I hate going lectures ,Angry
Stressed about work load.,Fear
Scored well in the cricket match.,Joy
Research approach fundamentally wrong,Sad
 bringing my laptop charger.,Neutral
got offered position top consulting firm,Joy
Submitted cross-cultural study,Neutral
Academic mentor witnessing extraordinary success,Joy
The lecturer never explains things properly,Angry
Submitted research proposal,Neutral
Lost my seat in the library,Sad
lab report due friday,Neutral
Worried about advisor disappointment,Fear
course syllabus updated,Neutral
Instructor criticized my presentation publicly,Angry
We enjoyed the science exhibition together,Joy
thesis draft received harsh criticism,Sad
Submitted empirical analysis,Neutral
scared oral examination,Fear
Classmate intentionally delayed project,Angry
Fear that I wonot manage my time well,Fear
Got rejected from academic institute,Sad
afraid failing statistic course,Fear
Afraid of failing required courses,Fear
Nervous about exam questions,Fear
Professor offered position as course coordinator,Joy
Academic mentor terminated our relationship,Sad
Had to cancel my trip,Sad
Got funding for revolutionary research concept,Joy
Worried that my answers wonot be good enough,Fear
Fear that I am not smart enough,Fear
Professor showed favoritism to others,Angry
 I hate how seniors get away with everything.,Angry
Study skills seem inadequate for success,Sad
Got rejected from academic fellowship,Sad
professor questioned academic commitment,Sad
Attended research meeting,Neutral
make wrong academic decision,Fear
Research collaboration winning prestigious award,Joy
anxious peer pressure situation,Fear
The Wi-Fi is working fine now.,Neutral
Professor refused to endorse my work,Sad
I go mad on my group mates.,Angry
Research conclusions lack sufficient support,Sad
Faced on an accident and I missed my exams.,Sad
received full funding graduate study,Joy
Attended academic workshop,Neutral
meeting study group pm,Neutral
They make me cry.,Sad
Professor offered position shaping next generation,Joy
course description totally misleading,Angry
community project impacted hundred,Joy
 in the libraryâs quiet zone.,Neutral
scared thesis submission deadline,Fear
Lost the sports competition finals,Sad
got dream internship google,Joy
Instructor gave unfair assessment,Angry
Failed to get into required course,Sad
research funding application denied,Sad
I unsuccessful in everything .,Sad
Professor dismissed my explanations abruptly,Angry
afraid academic probation,Fear
Professor expressed disappointment repeatedly,Sad
Research methodology revolutionizing approaches,Joy
They never take our feedback seriously,Angry
Completed field observation,Neutral
I did not attend to lecture today,Neutral
got selected student council,Joy
Scared of being unprepared,Fear
short story won literary prize,Joy
afraid chose wrong major,Fear
